epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
116,0.09986826777458191,0.04721918702125549,0.08054861426353455,0.00010075369937112555,0.01921888440847397,,5147
,,,,,,0.0005,5148
117,0.09385271370410919,0.04725492373108864,0.07593818008899689,4.869742042501457e-05,0.017865827307105064,,5191
,,,,,,0.0005,5192
118,0.09504371136426926,0.04739556834101677,0.07774745672941208,8.948870527092367e-05,0.017206761986017227,,5235
,,,,,,0.0005,5236
119,0.09582089632749557,0.04751675948500633,0.07205255329608917,5.179093204787932e-05,0.023716548457741737,,5279
,,,,,,0.0005,5280
120,0.1075374186038971,0.047655899077653885,0.07276575267314911,3.481235762592405e-05,0.034736864268779755,,5323
,,,,,,0.0005,5324
121,0.09207090735435486,0.047804199159145355,0.07623454928398132,3.6431894841371104e-05,0.015799924731254578,,5367
,,,,,,0.0005,5368
122,0.08733253926038742,0.04774504527449608,0.07412727922201157,4.807950244867243e-05,0.013157196342945099,,5411
,,,,,,0.0005,5412
123,0.09047918766736984,0.047681212425231934,0.07171152532100677,2.2600763259106316e-05,0.01874505914747715,,5455
,,,,,,0.0005,5456
124,0.0846489816904068,0.04767400398850441,0.07352443039417267,4.588509546010755e-05,0.011078663170337677,,5499
,,,,,,0.0005,5500
125,0.08114638924598694,0.04759813845157623,0.06899431347846985,5.77639730181545e-05,0.01209431141614914,,5543
,,,,,,0.0005,5544
126,0.09240393340587616,0.04766230285167694,0.06818561255931854,2.8102234864491038e-05,0.02419021539390087,,5587
,,,,,,0.0005,5588
127,0.07850517332553864,0.04747188836336136,0.061808519065380096,3.268557338742539e-05,0.016663968563079834,,5631
,,,,,,0.0005,5632
128,0.07974030077457428,0.047640010714530945,0.06430632621049881,2.8047954401699826e-05,0.015405912883579731,,5675
,,,,,,0.0005,5676
129,0.08542639017105103,0.04765503108501434,0.059098005294799805,4.529488069238141e-05,0.02628309465944767,,5719
,,,,,,0.0005,5720
130,0.07642745971679688,0.0476556196808815,0.058459360152482986,3.203340384061448e-05,0.017936063930392265,,5763
,,,,,,0.0005,5764
131,0.07546791434288025,0.04773891344666481,0.05385061725974083,4.687620821641758e-05,0.021570418030023575,,5807
,,,,,,0.0005,5808
132,0.08009374141693115,0.0479252003133297,0.05640161782503128,4.772266038344242e-05,0.023644395172595978,,5851
,,,,,,0.0005,5852
133,0.06843534111976624,0.04783812165260315,0.05144449323415756,4.307130802772008e-05,0.016947787255048752,,5895
,,,,,,0.0005,5896
134,0.06646109372377396,0.04785098880529404,0.05275131016969681,4.7223627916537225e-05,0.013662543147802353,,5939
,,,,,,0.0005,5940
135,0.06878489255905151,0.04764717072248459,0.0402081236243248,4.847791205975227e-05,0.028528301045298576,,5983
,,,,,,0.0005,5984
136,0.06405961513519287,0.04774538427591324,0.0405704602599144,5.1720642659347504e-05,0.02343743108212948,,6027
,,,,,,0.0005,6028
137,0.06523510068655014,0.04785461723804474,0.03931683301925659,4.6626359107904136e-05,0.025871645659208298,,6071
,,,,,,0.0005,6072
138,0.05659807100892067,0.047918565571308136,0.03668517991900444,7.797631405992433e-05,0.019834911450743675,,6115
,,,,,,0.0005,6116
139,0.06718195229768753,0.047987665981054306,0.03467673435807228,5.7280834880657494e-05,0.032447945326566696,,6159
,,,,,,0.0005,6160
140,0.050710491836071014,0.0479668527841568,0.036492083221673965,5.0289785576751456e-05,0.014168115332722664,,6203
,,,,,,0.0005,6204
141,0.0627947449684143,0.04807283729314804,0.031215602532029152,5.3362535254564136e-05,0.03152577206492424,,6247
,,,,,,0.0005,6248
