t,x_obs,y_obs,x_pred,y_pred,beta_pred,beta_true
4.723618e-01,1.765750e+01,2.005524e+01,2.769354e+01,2.058194e+01,2.029552e-02,2.000000e-02
4.773869e-01,1.790824e+01,1.792847e+01,2.837015e+01,1.953490e+01,2.029552e-02,2.000000e-02
4.824121e-01,1.831967e+01,1.689000e+01,2.920533e+01,1.858424e+01,2.029552e-02,2.000000e-02
4.874372e-01,2.165624e+01,1.525113e+01,3.020012e+01,1.772665e+01,2.029552e-02,2.000000e-02
4.924623e-01,2.137085e+01,1.395440e+01,3.135661e+01,1.695854e+01,2.029552e-02,2.000000e-02
4.974875e-01,2.191871e+01,1.333214e+01,3.267715e+01,1.627638e+01,2.029552e-02,2.000000e-02
5.025126e-01,2.456528e+01,1.241954e+01,3.416371e+01,1.567690e+01,2.029552e-02,2.000000e-02
5.075377e-01,2.571017e+01,1.157931e+01,3.581776e+01,1.515740e+01,2.029552e-02,2.000000e-02
5.125628e-01,2.632794e+01,1.090202e+01,3.764042e+01,1.471584e+01,2.029552e-02,2.000000e-02
5.175879e-01,2.919356e+01,1.091674e+01,3.963259e+01,1.435110e+01,2.029552e-02,2.000000e-02
5.226130e-01,3.149995e+01,1.102729e+01,4.179511e+01,1.406308e+01,2.029552e-02,2.000000e-02
5.276382e-01,3.286411e+01,9.937311e+00,4.412820e+01,1.385287e+01,2.029552e-02,2.000000e-02
5.326633e-01,3.686124e+01,8.713331e+00,4.663027e+01,1.372291e+01,2.029552e-02,2.000000e-02
5.376884e-01,4.278479e+01,9.326963e+00,4.929633e+01,1.367711e+01,2.029552e-02,2.000000e-02
5.427135e-01,4.483744e+01,9.676593e+00,5.211607e+01,1.372097e+01,2.029552e-02,2.000000e-02
5.477387e-01,4.762081e+01,8.772007e+00,5.507216e+01,1.386166e+01,2.029552e-02,2.000000e-02
5.527638e-01,5.057220e+01,7.660955e+00,5.813882e+01,1.410808e+01,2.029552e-02,2.000000e-02
5.577889e-01,5.680320e+01,8.518408e+00,6.128063e+01,1.447072e+01,2.029552e-02,2.000000e-02
5.628141e-01,6.071831e+01,9.095867e+00,6.445158e+01,1.496160e+01,2.029552e-02,2.000000e-02
5.678392e-01,6.690839e+01,9.181694e+00,6.759348e+01,1.559379e+01,2.029552e-02,2.000000e-02
5.728643e-01,6.989918e+01,9.876420e+00,7.063420e+01,1.638084e+01,2.029552e-02,2.000000e-02
5.778894e-01,7.670130e+01,1.051030e+01,7.348692e+01,1.733584e+01,2.029552e-02,2.000000e-02
5.829146e-01,8.094836e+01,1.071254e+01,7.605044e+01,1.847019e+01,2.029552e-02,2.000000e-02
5.879397e-01,8.924411e+01,1.204330e+01,7.821336e+01,1.979179e+01,2.029552e-02,2.000000e-02
5.929648e-01,9.379340e+01,1.379748e+01,7.986074e+01,2.130295e+01,2.029552e-02,2.000000e-02
5.979900e-01,1.010953e+02,1.455258e+01,8.088274e+01,2.299753e+01,2.029552e-02,2.000000e-02
6.030151e-01,1.050150e+02,1.722694e+01,8.118427e+01,2.485771e+01,2.029552e-02,2.000000e-02
