epoch,loss,loss/D_u,loss/D_v,loss/F,loss/bc_bottom_u,loss/bc_bottom_v,loss/bc_left_u,loss/bc_left_v,loss/bc_right_u,loss/bc_right_v,loss/bc_top_u,loss/bc_top_v,loss/data,loss/ic_u,loss/ic_v,loss/k,loss/pde_u,loss/pde_v,loss/smma,lr,step
28,0.18487344682216644,0.048201046884059906,0.007795572280883789,0.5810777544975281,3.868230487569235e-05,1.0646517694112845e-05,1.4135322999209166e-05,8.700051694177091e-06,1.990048804145772e-05,7.061020824039588e-06,3.927366924472153e-05,6.4085156736837234e-06,0.05950716882944107,0.09832332283258438,0.02485293708741665,0.4838829040527344,0.0010133536998182535,0.0010318877175450325,2.1310646533966064,,1826
,,,,,,,,,,,,,,,,,,,,0.0009997696833416857,1827
29,0.17808115482330322,0.05148054286837578,0.008121198043227196,0.6091809868812561,3.9961872971616685e-05,1.1277109479124192e-05,2.6227864509564824e-05,7.567113243567292e-06,2.7086109184892848e-05,9.716540262161288e-06,5.087575118523091e-05,6.7811342887580395e-06,0.05876690894365311,0.09405265748500824,0.023260129615664482,0.5124796032905579,0.0012474415125325322,0.0005745328962802887,2.0334153175354004,,1889
,,,,,,,,,,,,,,,,,,,,0.0009997535269026829,1890
30,0.1824141889810562,0.05917762592434883,0.008852807804942131,0.6396760940551758,3.451552402111702e-05,1.5482532035093755e-05,3.0581642931792885e-05,1.355742097075563e-05,2.808992940117605e-05,1.4485065548797138e-05,4.401632759254426e-05,9.714541192806792e-06,0.06009286642074585,0.09583502262830734,0.022839436307549477,0.5365564823150635,0.0023485079873353243,0.001107952557504177,1.940865397453308,,1952
,,,,,,,,,,,,,,,,,,,,0.0009997368229709737,1953
31,0.17842333018779755,0.06923746317625046,0.010806499980390072,0.6804181933403015,7.104827818693593e-05,1.0838030902959872e-05,2.2476790036307648e-05,1.867795617727097e-05,2.8672127882600762e-05,1.3232623132353183e-05,4.2440457036718726e-05,1.173835335066542e-05,0.05840663984417915,0.0929197147488594,0.02452162280678749,0.5632451772689819,0.0011342342477291822,0.0012219747295603156,1.8527432680130005,,2015
,,,,,,,,,,,,,,,,,,,,0.0009997195715648764,2016
32,0.19181035459041595,0.0726451575756073,0.012858656235039234,0.7244265675544739,1.9093064111075364e-05,8.772123692324385e-06,1.8744560293271206e-05,1.180980780191021e-05,1.091663034458179e-05,1.2632723155547865e-05,2.3889717340352945e-05,6.026702976669185e-06,0.06030970811843872,0.10241357982158661,0.026310311630368233,0.6070053577423096,0.001264179707504809,0.0014006946003064513,1.769696593284607,,2078
,,,,,,,,,,,,,,,,,,,,0.0009997017727033089,2079
33,0.20068466663360596,0.07624676823616028,0.01385544054210186,0.7719065546989441,3.31297742377501e-05,9.517687431070954e-06,3.743563138414174e-05,2.134219539584592e-05,2.301246058777906e-05,1.5584389984724112e-05,3.435786857153289e-05,5.771576070401352e-06,0.058020494878292084,0.11286722123622894,0.026249844580888748,0.6390270590782166,0.0021105175837874413,0.00125643250066787,1.6912460327148438,,2141
,,,,,,,,,,,,,,,,,,,,0.00099968342640579,2142
34,0.18080216646194458,0.08057858794927597,0.014955012127757072,0.8268955945968628,3.251003727200441e-05,1.0374185876571573e-05,4.308694042265415e-05,1.64871944434708e-05,3.874562753480859e-05,1.7018677681335248e-05,3.146545714116655e-05,9.692023013485596e-06,0.05739101767539978,0.0967710092663765,0.023819081485271454,0.6720330119132996,0.0016446344088762999,0.0009770331671461463,1.6157238483428955,,2204
,,,,,,,,,,,,,,,,,,,,0.0009996645326924385,2205
35,0.1791922152042389,0.08824167400598526,0.016401762142777443,0.8721045851707458,3.555828152457252e-05,8.851719940139446e-06,5.519757905858569e-05,1.3227181625552475e-05,2.5003797418321483e-05,1.2651033102883957e-05,3.5555498470785096e-05,1.0256764653604478e-05,0.05780402570962906,0.09195739775896072,0.024634188041090965,0.7072556614875793,0.0035835434682667255,0.0010167742148041725,1.543897271156311,,2267
,,,,,,,,,,,,,,,,,,,,0.000999645091583974,2268
