x,y,t,u_pred,u_true,v_pred,v_true
0.000000e+00,6.315789e-01,5.555556e-01,9.996840e-01,1.019405e+00,9.383531e-04,7.534127e-03
0.000000e+00,6.315789e-01,6.666667e-01,9.996898e-01,9.962695e-01,9.386512e-04,-5.518481e-03
0.000000e+00,6.315789e-01,7.777778e-01,9.997041e-01,9.891997e-01,9.391280e-04,9.679769e-03
0.000000e+00,6.315789e-01,8.888889e-01,9.997168e-01,9.996321e-01,9.400519e-04,2.255629e-02
0.000000e+00,6.315789e-01,1.000000e+00,9.997165e-01,9.912685e-01,9.402009e-04,7.514589e-03
0.000000e+00,6.842105e-01,0.000000e+00,9.998183e-01,9.925047e-01,9.741755e-04,-1.146142e-02
0.000000e+00,6.842105e-01,1.111111e-01,9.997013e-01,9.888214e-01,9.684535e-04,-1.681580e-02
0.000000e+00,6.842105e-01,2.222222e-01,9.996652e-01,9.762515e-01,9.410949e-04,-8.618677e-06
0.000000e+00,6.842105e-01,3.333333e-01,9.996653e-01,9.965956e-01,9.388300e-04,-5.484883e-03
0.000000e+00,6.842105e-01,4.444444e-01,9.996704e-01,9.991726e-01,9.384723e-04,1.625327e-02
0.000000e+00,6.842105e-01,5.555556e-01,9.996812e-01,1.003276e+00,9.387406e-04,1.373653e-02
0.000000e+00,6.842105e-01,6.666667e-01,9.996889e-01,9.979496e-01,9.389790e-04,-5.162321e-03
0.000000e+00,6.842105e-01,7.777778e-01,9.997026e-01,9.946846e-01,9.401711e-04,1.776357e-04
0.000000e+00,6.842105e-01,8.888889e-01,9.997237e-01,1.010331e+00,9.421678e-04,1.247507e-02
0.000000e+00,6.842105e-01,1.000000e+00,9.997231e-01,1.005597e+00,9.427639e-04,1.609929e-02
0.000000e+00,7.368421e-01,0.000000e+00,9.998592e-01,1.012817e+00,9.701522e-04,-1.164070e-02
0.000000e+00,7.368421e-01,1.111111e-01,9.996902e-01,9.971312e-01,9.847255e-04,1.009392e-02
0.000000e+00,7.368421e-01,2.222222e-01,9.996637e-01,9.883343e-01,9.427341e-04,-5.176456e-03
0.000000e+00,7.368421e-01,3.333333e-01,9.996643e-01,9.995098e-01,9.395452e-04,1.576301e-02
0.000000e+00,7.368421e-01,4.444444e-01,9.996687e-01,1.005977e+00,9.388896e-04,8.456120e-03
0.000000e+00,7.368421e-01,5.555556e-01,9.996771e-01,9.977235e-01,9.390088e-04,2.917256e-03
0.000000e+00,7.368421e-01,6.666667e-01,9.996879e-01,9.838299e-01,9.397240e-04,-2.412700e-03
0.000000e+00,7.368421e-01,7.777778e-01,9.997034e-01,9.909889e-01,9.416314e-04,-2.735503e-03
0.000000e+00,7.368421e-01,8.888889e-01,9.997263e-01,1.006179e+00,9.452077e-04,-2.279503e-03
0.000000e+00,7.368421e-01,1.000000e+00,9.997256e-01,9.907953e-01,9.462507e-04,8.275976e-03
0.000000e+00,7.894737e-01,0.000000e+00,9.998208e-01,9.962613e-01,9.689601e-04,-5.677024e-03
0.000000e+00,7.894737e-01,1.111111e-01,9.996818e-01,9.937572e-01,9.917887e-04,7.295093e-03
0.000000e+00,7.894737e-01,2.222222e-01,9.996623e-01,1.010739e+00,9.455057e-04,4.317332e-03
0.000000e+00,7.894737e-01,3.333333e-01,9.996641e-01,9.947624e-01,9.402009e-04,-4.682045e-05
0.000000e+00,7.894737e-01,4.444444e-01,9.996677e-01,9.917186e-01,9.392472e-04,-1.469596e-02
0.000000e+00,7.894737e-01,5.555556e-01,9.996747e-01,9.923970e-01,9.393068e-04,-3.034784e-03
0.000000e+00,7.894737e-01,6.666667e-01,9.996871e-01,9.938003e-01,9.402903e-04,1.017932e-02
0.000000e+00,7.894737e-01,7.777778e-01,9.997030e-01,9.870561e-01,9.432705e-04,-1.763774e-02
0.000000e+00,7.894737e-01,8.888889e-01,9.997261e-01,1.006118e+00,9.478303e-04,-3.375676e-03
0.000000e+00,7.894737e-01,1.000000e+00,9.997250e-01,9.824889e-01,9.497376e-04,5.517015e-03
0.000000e+00,8.421053e-01,0.000000e+00,9.997627e-01,1.009183e+00,9.710761e-04,-1.947398e-02
0.000000e+00,8.421053e-01,1.111111e-01,9.996778e-01,9.928381e-01,9.935470e-04,-7.789756e-03
0.000000e+00,8.421053e-01,2.222222e-01,9.996618e-01,9.925767e-01,9.511383e-04,1.319064e-02
0.000000e+00,8.421053e-01,3.333333e-01,9.996638e-01,9.953065e-01,9.408565e-04,1.804848e-02
0.000000e+00,8.421053e-01,4.444444e-01,9.996669e-01,9.916264e-01,9.397836e-04,3.162209e-02
0.000000e+00,8.421053e-01,5.555556e-01,9.996728e-01,9.886600e-01,9.398432e-04,8.365323e-03
0.000000e+00,8.421053e-01,6.666667e-01,9.996861e-01,1.003738e+00,9.409459e-04,-8.267415e-03
0.000000e+00,8.421053e-01,7.777778e-01,9.996998e-01,1.002913e+00,9.445520e-04,1.892692e-02
0.000000e+00,8.421053e-01,8.888889e-01,9.997236e-01,9.991464e-01,9.497376e-04,1.336317e-02
0.000000e+00,8.421053e-01,1.000000e+00,9.997222e-01,1.001379e+00,9.520920e-04,-3.438067e-03
0.000000e+00,8.947368e-01,0.000000e+00,9.997409e-01,1.003982e+00,9.739967e-04,1.647680e-02
0.000000e+00,8.947368e-01,1.111111e-01,9.996763e-01,9.928055e-01,9.925338e-04,1.668463e-02
0.000000e+00,8.947368e-01,2.222222e-01,9.996619e-01,9.875780e-01,9.547146e-04,-1.380101e-02
0.000000e+00,8.947368e-01,3.333333e-01,9.996638e-01,9.911120e-01,9.410949e-04,-8.101668e-03
0.000000e+00,8.947368e-01,4.444444e-01,9.996664e-01,1.007272e+00,9.399028e-04,8.184075e-03
0.000000e+00,8.947368e-01,5.555556e-01,9.996704e-01,9.947560e-01,9.399028e-04,6.394710e-03
0.000000e+00,8.947368e-01,6.666667e-01,9.996853e-01,1.010188e+00,9.411247e-04,-6.912852e-03
0.000000e+00,8.947368e-01,7.777778e-01,9.996952e-01,9.853221e-01,9.455057e-04,8.644613e-03
0.000000e+00,8.947368e-01,8.888889e-01,9.997181e-01,9.994759e-01,9.513171e-04,-2.196085e-02
0.000000e+00,8.947368e-01,1.000000e+00,9.997157e-01,9.924970e-01,9.527477e-04,-5.987820e-03
0.000000e+00,9.473684e-01,0.000000e+00,9.997308e-01,1.003469e+00,9.755166e-04,-1.722021e-03
0.000000e+00,9.473684e-01,1.111111e-01,9.996738e-01,9.798714e-01,9.893449e-04,-3.192558e-03
0.000000e+00,9.473684e-01,2.222222e-01,9.996621e-01,9.794582e-01,9.537013e-04,6.326464e-03
0.000000e+00,9.473684e-01,3.333333e-01,9.996639e-01,9.887295e-01,9.406479e-04,-1.022429e-02
0.000000e+00,9.473684e-01,4.444444e-01,9.996662e-01,9.851344e-01,9.396346e-04,-9.912456e-03
0.000000e+00,9.473684e-01,5.555556e-01,9.996685e-01,9.811832e-01,9.398432e-04,7.401154e-03
0.000000e+00,9.473684e-01,6.666667e-01,9.996846e-01,1.005610e+00,9.408565e-04,2.441168e-03
0.000000e+00,9.473684e-01,7.777778e-01,9.996915e-01,1.002905e+00,9.451779e-04,9.001686e-03
0.000000e+00,9.473684e-01,8.888889e-01,9.997079e-01,9.942488e-01,9.501847e-04,6.867263e-03
0.000000e+00,9.473684e-01,1.000000e+00,9.997041e-01,1.009725e+00,9.507509e-04,5.449936e-03
0.000000e+00,1.000000e+00,0.000000e+00,9.997226e-01,1.009641e+00,9.762021e-04,2.060532e-02
0.000000e+00,1.000000e+00,1.111111e-01,9.996675e-01,9.856037e-01,9.847553e-04,-6.727687e-03
0.000000e+00,1.000000e+00,2.222222e-01,9.996624e-01,1.005300e+00,9.481283e-04,-5.385527e-03
0.000000e+00,1.000000e+00,3.333333e-01,9.996641e-01,9.936495e-01,9.398730e-04,-1.820016e-02
0.000000e+00,1.000000e+00,4.444444e-01,9.996661e-01,1.003046e+00,9.390386e-04,1.441392e-02
0.000000e+00,1.000000e+00,5.555556e-01,9.996689e-01,1.002883e+00,9.393366e-04,2.951213e-03
0.000000e+00,1.000000e+00,6.666667e-01,9.996831e-01,1.016954e+00,9.400817e-04,5.025107e-03
0.000000e+00,1.000000e+00,7.777778e-01,9.996895e-01,9.917455e-01,9.435685e-04,-2.560456e-03
0.000000e+00,1.000000e+00,8.888889e-01,9.996972e-01,9.993166e-01,9.471746e-04,1.352315e-03
0.000000e+00,1.000000e+00,1.000000e+00,9.996924e-01,1.001157e+00,9.475620e-04,-1.110203e-02
5.263158e-02,0.000000e+00,0.000000e+00,9.997190e-01,9.913974e-01,9.355815e-04,-5.485578e-03
5.263158e-02,0.000000e+00,1.111111e-01,9.996614e-01,1.008399e+00,9.369226e-04,5.559235e-03
5.263158e-02,0.000000e+00,2.222222e-01,9.996627e-01,9.868946e-01,9.374591e-04,5.066272e-03
5.263158e-02,0.000000e+00,3.333333e-01,9.996645e-01,1.007199e+00,9.373697e-04,-1.303068e-02
5.263158e-02,0.000000e+00,4.444444e-01,9.996666e-01,9.945916e-01,9.374591e-04,-1.867951e-02
5.263158e-02,0.000000e+00,5.555556e-01,9.996693e-01,1.013487e+00,9.373995e-04,-4.028649e-03
5.263158e-02,0.000000e+00,6.666667e-01,9.996849e-01,9.955001e-01,9.373995e-04,1.449785e-03
5.263158e-02,0.000000e+00,7.777778e-01,9.996928e-01,9.906869e-01,9.373398e-04,4.700212e-03
5.263158e-02,0.000000e+00,8.888889e-01,9.996932e-01,1.026925e+00,9.368630e-04,5.060446e-03
5.263158e-02,0.000000e+00,1.000000e+00,9.996923e-01,9.999496e-01,9.367140e-04,-1.130800e-02
5.263158e-02,5.263158e-02,0.000000e+00,9.996977e-01,1.011308e+00,9.344788e-04,1.115312e-02
5.263158e-02,5.263158e-02,1.111111e-01,9.996615e-01,1.002565e+00,9.366842e-04,-3.542160e-03
5.263158e-02,5.263158e-02,2.222222e-01,9.996622e-01,1.007139e+00,9.373100e-04,-7.513160e-03
5.263158e-02,5.263158e-02,3.333333e-01,9.996639e-01,9.979011e-01,9.373995e-04,1.014543e-02
5.263158e-02,5.263158e-02,4.444444e-01,9.996663e-01,1.015054e+00,9.373398e-04,9.137656e-03
5.263158e-02,5.263158e-02,5.555556e-01,9.996697e-01,9.981465e-01,9.374293e-04,-3.730904e-03
5.263158e-02,5.263158e-02,6.666667e-01,9.996889e-01,1.021087e+00,9.373697e-04,-8.392937e-03
5.263158e-02,5.263158e-02,7.777778e-01,9.996954e-01,9.883204e-01,9.372504e-04,3.091508e-02
5.263158e-02,5.263158e-02,8.888889e-01,9.996977e-01,9.998342e-01,9.368630e-04,-1.065441e-02
5.263158e-02,5.263158e-02,1.000000e+00,9.996982e-01,1.014170e+00,9.366842e-04,1.093664e-03
5.263158e-02,1.052632e-01,0.000000e+00,9.997118e-01,1.003983e+00,9.335252e-04,-4.650834e-03
5.263158e-02,1.052632e-01,1.111111e-01,9.996628e-01,9.781200e-01,9.364160e-04,1.081707e-02
5.263158e-02,1.052632e-01,2.222222e-01,9.996617e-01,1.013766e+00,9.373398e-04,-1.132616e-02
5.263158e-02,1.052632e-01,3.333333e-01,9.996637e-01,1.005402e+00,9.372802e-04,4.823305e-03
5.263158e-02,1.052632e-01,4.444444e-01,9.996660e-01,9.904509e-01,9.373100e-04,-1.125512e-02
5.263158e-02,1.052632e-01,5.555556e-01,9.996711e-01,9.990776e-01,9.373697e-04,-1.209437e-02
5.263158e-02,1.052632e-01,6.666667e-01,9.996934e-01,1.004148e+00,9.373995e-04,1.213769e-02
5.263158e-02,1.052632e-01,7.777778e-01,9.996985e-01,1.004149e+00,9.371908e-04,4.396995e-03
5.263158e-02,1.052632e-01,8.888889e-01,9.997053e-01,9.916471e-01,9.368332e-04,2.214258e-03
5.263158e-02,1.052632e-01,1.000000e+00,9.997062e-01,1.002911e+00,9.365948e-04,-7.266636e-03
5.263158e-02,1.578947e-01,0.000000e+00,9.997006e-01,1.001270e+00,9.329291e-04,-8.150603e-03
5.263158e-02,1.578947e-01,1.111111e-01,9.996681e-01,9.851668e-01,9.362968e-04,-1.377722e-03
5.263158e-02,1.578947e-01,2.222222e-01,9.996614e-01,9.885999e-01,9.372206e-04,2.858717e-03
5.263158e-02,1.578947e-01,3.333333e-01,9.996636e-01,9.814887e-01,9.373100e-04,1.690073e-02
5.263158e-02,1.578947e-01,4.444444e-01,9.996662e-01,1.012128e+00,9.373100e-04,9.228048e-03
5.263158e-02,1.578947e-01,5.555556e-01,9.996737e-01,9.802070e-01,9.373398e-04,-1.057866e-02
5.263158e-02,1.578947e-01,6.666667e-01,9.996976e-01,9.997617e-01,9.373697e-04,5.095161e-04
5.263158e-02,1.578947e-01,7.777778e-01,9.997020e-01,1.000605e+00,9.372504e-04,1.317196e-02
5.263158e-02,1.578947e-01,8.888889e-01,9.997135e-01,1.013353e+00,9.368928e-04,-1.425990e-02
5.263158e-02,1.578947e-01,1.000000e+00,9.997145e-01,9.941761e-01,9.366246e-04,1.753765e-02
5.263158e-02,2.105263e-01,0.000000e+00,9.997142e-01,9.925684e-01,9.334954e-04,-1.123625e-02
5.263158e-02,2.105263e-01,1.111111e-01,9.996792e-01,1.000115e+00,9.363564e-04,7.206147e-03
5.263158e-02,2.105263e-01,2.222222e-01,9.996616e-01,1.016220e+00,9.372206e-04,-2.074830e-03
5.263158e-02,2.105263e-01,3.333333e-01,9.996636e-01,1.006562e+00,9.373100e-04,-1.940345e-02
5.263158e-02,2.105263e-01,4.444444e-01,9.996668e-01,9.983999e-01,9.373398e-04,1.691824e-02
5.263158e-02,2.105263e-01,5.555556e-01,9.996780e-01,1.001220e+00,9.374293e-04,9.026466e-03
