x,y,t,u_pred,u_true,v_pred,v_true
0.000000e+00,3.157895e-01,3.333333e-01,9.996659e-01,9.982802e-01,9.373398e-04,2.054861e-05
0.000000e+00,3.157895e-01,4.444444e-01,9.996727e-01,9.992948e-01,9.373697e-04,2.212165e-06
0.000000e+00,3.157895e-01,5.555556e-01,9.996876e-01,9.997103e-01,9.373398e-04,2.383455e-07
0.000000e+00,3.157895e-01,6.666667e-01,9.997047e-01,9.998809e-01,9.372206e-04,2.592511e-08
0.000000e+00,3.157895e-01,7.777778e-01,9.997144e-01,9.999511e-01,9.372206e-04,2.772610e-09
0.000000e+00,3.157895e-01,8.888889e-01,9.997245e-01,9.999799e-01,9.369822e-04,3.042594e-10
0.000000e+00,3.157895e-01,1.000000e+00,9.997253e-01,9.999917e-01,9.368630e-04,3.228005e-11
0.000000e+00,3.684210e-01,0.000000e+00,9.997355e-01,1.000000e+00,9.379657e-04,0.000000e+00
0.000000e+00,3.684210e-01,1.111111e-01,9.997183e-01,9.897476e-01,9.368928e-04,1.552397e-03
0.000000e+00,3.684210e-01,2.222222e-01,9.996731e-01,9.958024e-01,9.374293e-04,1.878205e-04
0.000000e+00,3.684210e-01,3.333333e-01,9.996684e-01,9.982807e-01,9.374889e-04,2.053868e-05
0.000000e+00,3.684210e-01,4.444444e-01,9.996763e-01,9.992949e-01,9.373697e-04,2.210495e-06
0.000000e+00,3.684210e-01,5.555556e-01,9.996894e-01,9.997104e-01,9.373100e-04,2.382263e-07
0.000000e+00,3.684210e-01,6.666667e-01,9.997054e-01,9.998809e-01,9.372504e-04,2.591728e-08
0.000000e+00,3.684210e-01,7.777778e-01,9.997157e-01,9.999511e-01,9.372504e-04,2.772118e-09
0.000000e+00,3.684210e-01,8.888889e-01,9.997252e-01,9.999799e-01,9.371908e-04,3.042274e-10
0.000000e+00,3.684210e-01,1.000000e+00,9.997261e-01,9.999917e-01,9.369226e-04,3.227808e-11
0.000000e+00,4.210526e-01,0.000000e+00,9.997666e-01,1.000000e+00,9.520920e-04,0.000000e+00
0.000000e+00,4.210526e-01,1.111111e-01,9.997214e-01,9.897079e-01,9.373100e-04,1.611763e-03
0.000000e+00,4.210526e-01,2.222222e-01,9.996780e-01,9.958058e-01,9.373995e-04,1.884272e-04
0.000000e+00,4.210526e-01,3.333333e-01,9.996707e-01,9.982812e-01,9.373995e-04,2.052100e-05
0.000000e+00,4.210526e-01,4.444444e-01,9.996791e-01,9.992950e-01,9.375187e-04,2.208612e-06
0.000000e+00,4.210526e-01,5.555556e-01,9.996902e-01,9.997104e-01,9.373995e-04,2.380972e-07
0.000000e+00,4.210526e-01,6.666667e-01,9.997050e-01,9.998809e-01,9.373398e-04,2.590886e-08
0.000000e+00,4.210526e-01,7.777778e-01,9.997146e-01,9.999511e-01,9.372802e-04,2.771591e-09
0.000000e+00,4.210526e-01,8.888889e-01,9.997257e-01,9.999799e-01,9.374889e-04,3.041931e-10
0.000000e+00,4.210526e-01,1.000000e+00,9.997267e-01,9.999917e-01,9.373697e-04,3.227596e-11
0.000000e+00,4.736842e-01,0.000000e+00,9.997977e-01,1.000000e+00,1.012919e-03,0.000000e+00
0.000000e+00,4.736842e-01,1.111111e-01,9.997245e-01,9.897004e-01,9.380849e-04,1.639766e-03
0.000000e+00,4.736842e-01,2.222222e-01,9.996802e-01,9.958096e-01,9.375187e-04,1.884963e-04
0.000000e+00,4.736842e-01,3.333333e-01,9.996719e-01,9.982818e-01,9.375187e-04,2.049492e-05
0.000000e+00,4.736842e-01,4.444444e-01,9.996803e-01,9.992950e-01,9.374591e-04,2.206552e-06
0.000000e+00,4.736842e-01,5.555556e-01,9.996902e-01,9.997104e-01,9.374591e-04,2.379615e-07
0.000000e+00,4.736842e-01,6.666667e-01,9.997002e-01,9.998809e-01,9.374293e-04,2.590008e-08
0.000000e+00,4.736842e-01,7.777778e-01,9.997132e-01,9.999511e-01,9.375485e-04,2.771041e-09
0.000000e+00,4.736842e-01,8.888889e-01,9.997256e-01,9.999799e-01,9.376379e-04,3.041574e-10
0.000000e+00,4.736842e-01,1.000000e+00,9.997272e-01,9.999917e-01,9.376379e-04,3.227376e-11
0.000000e+00,5.263158e-01,0.000000e+00,9.997944e-01,1.000000e+00,1.025525e-03,0.000000e+00
0.000000e+00,5.263158e-01,1.111111e-01,9.997248e-01,9.897286e-01,9.411247e-04,1.632497e-03
0.000000e+00,5.263158e-01,2.222222e-01,9.996789e-01,9.958137e-01,9.380551e-04,1.879724e-04
0.000000e+00,5.263158e-01,3.333333e-01,9.996713e-01,9.982824e-01,9.376975e-04,2.046040e-05
0.000000e+00,5.263158e-01,4.444444e-01,9.996797e-01,9.992951e-01,9.375485e-04,2.204359e-06
0.000000e+00,5.263158e-01,5.555556e-01,9.996893e-01,9.997104e-01,9.375783e-04,2.378227e-07
0.000000e+00,5.263158e-01,6.666667e-01,9.996923e-01,9.998809e-01,9.375187e-04,2.589116e-08
0.000000e+00,5.263158e-01,7.777778e-01,9.997112e-01,9.999511e-01,9.380253e-04,2.770484e-09
0.000000e+00,5.263158e-01,8.888889e-01,9.997241e-01,9.999799e-01,9.382935e-04,3.041212e-10
0.000000e+00,5.263158e-01,1.000000e+00,9.997268e-01,9.999917e-01,9.380253e-04,3.227152e-11
0.000000e+00,5.789474e-01,0.000000e+00,9.997764e-01,1.000000e+00,1.023349e-03,0.000000e+00
0.000000e+00,5.789474e-01,1.111111e-01,9.997215e-01,9.897917e-01,9.454461e-04,1.590363e-03
0.000000e+00,5.789474e-01,2.222222e-01,9.996744e-01,9.958180e-01,9.387704e-04,1.868698e-04
0.000000e+00,5.789474e-01,3.333333e-01,9.996693e-01,9.982830e-01,9.379657e-04,2.041835e-05
0.000000e+00,5.789474e-01,4.444444e-01,9.996773e-01,9.992952e-01,9.378763e-04,2.202092e-06
0.000000e+00,5.789474e-01,5.555556e-01,9.996868e-01,9.997104e-01,9.379657e-04,2.376844e-07
0.000000e+00,5.789474e-01,6.666667e-01,9.996906e-01,9.998809e-01,9.379657e-04,2.588235e-08
0.000000e+00,5.789474e-01,7.777778e-01,9.997078e-01,9.999511e-01,9.385021e-04,2.769934e-09
0.000000e+00,5.789474e-01,8.888889e-01,9.997188e-01,9.999799e-01,9.388002e-04,3.040854e-10
0.000000e+00,5.789474e-01,1.000000e+00,9.997222e-01,9.999917e-01,9.388598e-04,3.226932e-11
0.000000e+00,6.315789e-01,0.000000e+00,9.997807e-01,1.000000e+00,9.765299e-04,0.000000e+00
0.000000e+00,6.315789e-01,1.111111e-01,9.997126e-01,9.898848e-01,9.533437e-04,1.518005e-03
0.000000e+00,6.315789e-01,2.222222e-01,9.996687e-01,9.958223e-01,9.398432e-04,1.852713e-04
0.000000e+00,6.315789e-01,3.333333e-01,9.996668e-01,9.982835e-01,9.383233e-04,2.037061e-05
0.000000e+00,6.315789e-01,4.444444e-01,9.996737e-01,9.992953e-01,9.381743e-04,2.199820e-06
0.000000e+00,6.315789e-01,5.555556e-01,9.996840e-01,9.997104e-01,9.383531e-04,2.375504e-07
0.000000e+00,6.315789e-01,6.666667e-01,9.996898e-01,9.998809e-01,9.386512e-04,2.587386e-08
0.000000e+00,6.315789e-01,7.777778e-01,9.997041e-01,9.999511e-01,9.391280e-04,2.769406e-09
0.000000e+00,6.315789e-01,8.888889e-01,9.997168e-01,9.999799e-01,9.400519e-04,3.040511e-10
0.000000e+00,6.315789e-01,1.000000e+00,9.997165e-01,9.999917e-01,9.402009e-04,3.226720e-11
0.000000e+00,6.842105e-01,0.000000e+00,9.998183e-01,1.000000e+00,9.741755e-04,0.000000e+00
0.000000e+00,6.842105e-01,1.111111e-01,9.997013e-01,9.900005e-01,9.684535e-04,1.422538e-03
0.000000e+00,6.842105e-01,2.222222e-01,9.996652e-01,9.958264e-01,9.410949e-04,1.833004e-04
0.000000e+00,6.842105e-01,3.333333e-01,9.996653e-01,9.982840e-01,9.388300e-04,2.031953e-05
0.000000e+00,6.842105e-01,4.444444e-01,9.996704e-01,9.992954e-01,9.384723e-04,2.197617e-06
0.000000e+00,6.842105e-01,5.555556e-01,9.996812e-01,9.997104e-01,9.387406e-04,2.374244e-07
0.000000e+00,6.842105e-01,6.666667e-01,9.996889e-01,9.998809e-01,9.389790e-04,2.586594e-08
0.000000e+00,6.842105e-01,7.777778e-01,9.997026e-01,9.999511e-01,9.401711e-04,2.768913e-09
0.000000e+00,6.842105e-01,8.888889e-01,9.997237e-01,9.999799e-01,9.421678e-04,3.040191e-10
0.000000e+00,6.842105e-01,1.000000e+00,9.997231e-01,9.999917e-01,9.427639e-04,3.226523e-11
