x,t,u_pred,u_true,error,D_pred,D_true
3.265306e-01,5.510204e-01,4.591262e-01,4.400893e-01,1.903689e-02,1.334964e-01,1.443300e-01
3.265306e-01,5.714286e-01,4.499043e-01,4.629027e-01,1.299837e-02,1.325032e-01,1.443300e-01
3.265306e-01,5.918368e-01,4.409720e-01,4.264711e-01,1.450092e-02,1.314568e-01,1.443300e-01
3.265306e-01,6.122449e-01,4.323041e-01,4.455563e-01,1.325214e-02,1.305304e-01,1.443300e-01
3.265306e-01,6.326531e-01,4.238715e-01,4.196689e-01,4.202634e-03,1.298296e-01,1.443300e-01
3.265306e-01,6.530612e-01,4.156450e-01,4.146363e-01,1.008660e-03,1.293779e-01,1.443300e-01
3.265306e-01,6.734694e-01,4.075995e-01,4.261876e-01,1.858804e-02,1.291993e-01,1.443300e-01
3.265306e-01,6.938776e-01,3.997169e-01,4.101788e-01,1.046190e-02,1.293271e-01,1.443300e-01
3.265306e-01,7.142857e-01,3.919852e-01,3.928542e-01,8.690655e-04,1.296741e-01,1.443300e-01
3.265306e-01,7.346939e-01,3.843992e-01,3.862651e-01,1.865864e-03,1.300706e-01,1.443300e-01
3.265306e-01,7.551020e-01,3.769577e-01,3.973486e-01,2.039090e-02,1.304695e-01,1.443300e-01
3.265306e-01,7.755102e-01,3.696621e-01,3.625575e-01,7.104665e-03,1.308348e-01,1.443300e-01
3.265306e-01,7.959183e-01,3.625138e-01,3.622578e-01,2.559721e-04,1.309418e-01,1.443300e-01
3.265306e-01,8.163266e-01,3.555134e-01,3.429624e-01,1.255095e-02,1.304618e-01,1.443300e-01
3.265306e-01,8.367347e-01,3.486601e-01,3.311122e-01,1.754782e-02,1.292733e-01,1.443300e-01
3.265306e-01,8.571429e-01,3.419529e-01,3.465909e-01,4.637957e-03,1.275190e-01,1.443300e-01
3.265306e-01,8.775510e-01,3.353907e-01,3.329468e-01,2.443910e-03,1.253177e-01,1.443300e-01
3.265306e-01,8.979592e-01,3.289739e-01,3.260418e-01,2.932072e-03,1.226253e-01,1.443300e-01
3.265306e-01,9.183673e-01,3.227054e-01,3.130722e-01,9.633183e-03,1.194700e-01,1.443300e-01
3.265306e-01,9.387755e-01,3.165923e-01,3.072024e-01,9.389877e-03,1.157474e-01,1.443300e-01
3.265306e-01,9.591837e-01,3.106462e-01,2.903077e-01,2.033845e-02,1.115220e-01,1.443300e-01
3.265306e-01,9.795918e-01,3.048838e-01,3.032947e-01,1.589179e-03,1.071538e-01,1.443300e-01
3.265306e-01,1.000000e+00,2.993266e-01,2.934031e-01,5.923569e-03,1.029520e-01,1.443300e-01
3.469388e-01,0.000000e+00,8.863555e-01,8.829004e-01,3.455043e-03,1.253374e-01,1.410086e-01
3.469388e-01,2.040816e-02,8.581606e-01,8.671454e-01,8.984804e-03,1.355789e-01,1.410086e-01
3.469388e-01,4.081633e-02,8.333166e-01,8.391414e-01,5.824745e-03,1.396344e-01,1.410086e-01
3.469388e-01,6.122449e-02,8.109509e-01,8.125077e-01,1.556873e-03,1.399685e-01,1.410086e-01
3.469388e-01,8.163265e-02,7.902851e-01,7.796039e-01,1.068121e-02,1.387878e-01,1.410086e-01
3.469388e-01,1.020408e-01,7.708665e-01,7.775952e-01,6.728709e-03,1.376881e-01,1.410086e-01
3.469388e-01,1.224490e-01,7.524710e-01,7.532055e-01,7.345080e-04,1.368280e-01,1.410086e-01
3.469388e-01,1.428571e-01,7.349721e-01,7.204670e-01,1.450509e-02,1.360392e-01,1.410086e-01
3.469388e-01,1.632653e-01,7.182636e-01,7.108661e-01,7.397473e-03,1.351126e-01,1.410086e-01
3.469388e-01,1.836735e-01,7.022376e-01,7.239350e-01,2.169740e-02,1.338795e-01,1.410086e-01
3.469388e-01,2.040816e-01,6.867914e-01,6.725629e-01,1.422852e-02,1.322431e-01,1.410086e-01
3.469388e-01,2.244898e-01,6.718392e-01,6.566911e-01,1.514810e-02,1.305202e-01,1.410086e-01
3.469388e-01,2.448980e-01,6.573207e-01,6.539212e-01,3.399551e-03,1.293030e-01,1.410086e-01
3.469388e-01,2.653061e-01,6.431991e-01,6.369314e-01,6.267726e-03,1.286512e-01,1.410086e-01
3.469388e-01,2.857143e-01,6.294550e-01,6.288336e-01,6.214380e-04,1.285392e-01,1.410086e-01
3.469388e-01,3.061225e-01,6.160769e-01,6.087076e-01,7.369339e-03,1.288727e-01,1.410086e-01
3.469388e-01,3.265306e-01,6.030535e-01,5.867219e-01,1.633155e-02,1.294575e-01,1.410086e-01
3.469388e-01,3.469388e-01,5.903683e-01,5.944763e-01,4.108071e-03,1.301399e-01,1.410086e-01
3.469388e-01,3.673469e-01,5.779998e-01,5.739361e-01,4.063666e-03,1.308318e-01,1.410086e-01
3.469388e-01,3.877551e-01,5.659238e-01,5.611959e-01,4.727900e-03,1.314810e-01,1.410086e-01
3.469388e-01,4.081632e-01,5.541179e-01,5.708857e-01,1.676780e-02,1.320301e-01,1.410086e-01
3.469388e-01,4.285714e-01,5.425674e-01,5.442847e-01,1.717329e-03,1.324059e-01,1.410086e-01
3.469388e-01,4.489796e-01,5.312669e-01,5.347624e-01,3.495514e-03,1.325506e-01,1.410086e-01
3.469388e-01,4.693877e-01,5.202228e-01,5.153699e-01,4.852951e-03,1.324545e-01,1.410086e-01
3.469388e-01,4.897959e-01,5.094502e-01,5.166720e-01,7.221818e-03,1.321486e-01,1.410086e-01
3.469388e-01,5.102041e-01,4.989674e-01,5.081307e-01,9.163260e-03,1.316685e-01,1.410086e-01
3.469388e-01,5.306122e-01,4.887917e-01,4.833336e-01,5.458117e-03,1.310362e-01,1.410086e-01
3.469388e-01,5.510204e-01,4.789317e-01,4.953440e-01,1.641235e-02,1.302560e-01,1.410086e-01
3.469388e-01,5.714286e-01,4.693848e-01,4.772217e-01,7.836878e-03,1.293230e-01,1.410086e-01
3.469388e-01,5.918368e-01,4.601357e-01,4.685236e-01,8.387893e-03,1.283165e-01,1.410086e-01
3.469388e-01,6.122449e-01,4.511586e-01,4.541489e-01,2.990276e-03,1.274146e-01,1.410086e-01
3.469388e-01,6.326531e-01,4.424208e-01,4.427708e-01,3.499687e-04,1.267281e-01,1.410086e-01
3.469388e-01,6.530612e-01,4.338887e-01,4.415283e-01,7.639557e-03,1.262725e-01,1.410086e-01
3.469388e-01,6.734694e-01,4.255319e-01,4.316308e-01,6.098956e-03,1.260631e-01,1.410086e-01
3.469388e-01,6.938776e-01,4.173279e-01,4.162729e-01,1.054972e-03,1.261288e-01,1.410086e-01
3.469388e-01,7.142857e-01,4.092629e-01,4.258001e-01,1.653722e-02,1.263930e-01,1.410086e-01
3.469388e-01,7.346939e-01,4.013326e-01,4.027337e-01,1.401126e-03,1.267268e-01,1.410086e-01
3.469388e-01,7.551020e-01,3.935398e-01,3.876330e-01,5.906850e-03,1.270882e-01,1.410086e-01
3.469388e-01,7.755102e-01,3.858928e-01,3.836595e-01,2.233267e-03,1.274396e-01,1.410086e-01
3.469388e-01,7.959183e-01,3.784012e-01,3.819713e-01,3.570110e-03,1.275578e-01,1.410086e-01
3.469388e-01,8.163266e-01,3.710749e-01,3.739820e-01,2.907097e-03,1.270834e-01,1.410086e-01
3.469388e-01,8.367347e-01,3.639211e-01,3.667042e-01,2.783060e-03,1.258812e-01,1.410086e-01
3.469388e-01,8.571429e-01,3.569444e-01,3.548069e-01,2.137423e-03,1.241605e-01,1.410086e-01
3.469388e-01,8.775510e-01,3.501463e-01,3.381743e-01,1.197204e-02,1.220001e-01,1.410086e-01
3.469388e-01,8.979592e-01,3.435269e-01,3.569722e-01,1.344526e-02,1.192663e-01,1.410086e-01
3.469388e-01,9.183673e-01,3.370860e-01,3.525749e-01,1.548895e-02,1.160125e-01,1.410086e-01
3.469388e-01,9.387755e-01,3.308251e-01,3.232186e-01,7.606417e-03,1.121482e-01,1.410086e-01
3.469388e-01,9.591837e-01,3.247493e-01,3.135130e-01,1.123622e-02,1.077255e-01,1.410086e-01
3.469388e-01,9.795918e-01,3.188686e-01,3.201434e-01,1.274794e-03,1.030983e-01,1.410086e-01
3.469388e-01,1.000000e+00,3.131983e-01,3.126984e-01,4.998446e-04,9.870633e-02,1.410086e-01
3.673469e-01,0.000000e+00,9.143373e-01,9.232986e-01,8.961260e-03,1.205500e-01,1.370139e-01
3.673469e-01,2.040816e-02,8.857517e-01,8.834960e-01,2.255619e-03,1.304133e-01,1.370139e-01
3.673469e-01,4.081633e-02,8.601254e-01,8.660646e-01,5.939186e-03,1.348432e-01,1.370139e-01
3.673469e-01,6.122449e-02,8.370723e-01,8.299945e-01,7.077754e-03,1.356578e-01,1.370139e-01
3.673469e-01,8.163265e-02,8.158798e-01,8.229581e-01,7.078290e-03,1.345881e-01,1.370139e-01
3.673469e-01,1.020408e-01,7.960387e-01,8.043358e-01,8.297086e-03,1.334504e-01,1.370139e-01
3.673469e-01,1.224490e-01,7.772791e-01,7.756227e-01,1.656473e-03,1.325824e-01,1.370139e-01
3.673469e-01,1.428571e-01,7.594606e-01,7.721456e-01,1.268506e-02,1.318572e-01,1.370139e-01
3.673469e-01,1.632653e-01,7.424779e-01,7.375343e-01,4.943550e-03,1.310063e-01,1.370139e-01
3.673469e-01,1.836735e-01,7.262229e-01,7.330059e-01,6.782949e-03,1.298115e-01,1.370139e-01
3.673469e-01,2.040816e-01,7.105825e-01,7.073526e-01,3.229856e-03,1.281241e-01,1.370139e-01
3.673469e-01,2.244898e-01,6.954530e-01,7.149688e-01,1.951575e-02,1.262392e-01,1.370139e-01
3.673469e-01,2.448980e-01,6.807519e-01,6.749364e-01,5.815506e-03,1.247991e-01,1.370139e-01
3.673469e-01,2.653061e-01,6.664240e-01,6.707643e-01,4.340291e-03,1.239270e-01,1.370139e-01
3.673469e-01,2.857143e-01,6.524382e-01,6.318405e-01,2.059764e-02,1.236307e-01,1.370139e-01
3.673469e-01,3.061225e-01,6.387801e-01,6.496500e-01,1.086998e-02,1.238284e-01,1.370139e-01
3.673469e-01,3.265306e-01,6.254430e-01,6.187086e-01,6.734431e-03,1.243475e-01,1.370139e-01
3.673469e-01,3.469388e-01,6.124210e-01,6.116797e-01,7.412434e-04,1.250448e-01,1.370139e-01
