epoch,loss,loss/bc_bottom,loss/bc_left,loss/bc_right,loss/bc_top,loss/pde_residual,lr,step
54,0.01383583340793848,0.0007767390343360603,0.0008191101369448006,0.0008004690753296018,0.0008149918867275119,0.010624523274600506,,24749
,,,,,,,0.001,24750
55,0.011703516356647015,0.0004359187441878021,0.00047934113536030054,0.0004655141965486109,0.0004792327235918492,0.00984350498765707,,25199
,,,,,,,0.001,25200
56,0.015534060075879097,0.0009716148488223553,0.000994027708657086,0.0010162332328036427,0.0010432674316689372,0.01150890439748764,,25649
,,,,,,,0.001,25650
57,0.011696945875883102,0.0004447896499186754,0.00045919761760160327,0.00045303450315259397,0.00045721608330495656,0.009882709942758083,,26099
,,,,,,,0.001,26100
58,0.014413826167583466,0.0008093411452136934,0.0008348235278390348,0.0008578315027989447,0.0008615489932708442,0.01105028297752142,,26549
,,,,,,,0.001,26550
59,0.011461274698376656,0.0005605248152278364,0.0006085039931349456,0.0006127614178694785,0.0006336992373690009,0.009045782499015331,,26999
,,,,,,,0.001,27000
60,0.015454747714102268,0.0007995492778718472,0.0008580473368056118,0.0008405474945902824,0.0008597322157584131,0.012096871621906757,,27449
,,,,,,,0.001,27450
61,0.012046350166201591,0.0007710069185122848,0.0007969443686306477,0.0008010358433239162,0.0008189299842342734,0.008858432993292809,,27899
,,,,,,,0.001,27900
62,0.013531852513551712,0.0005836494965478778,0.000598919577896595,0.0005937098176218569,0.0006245290860533714,0.011131048202514648,,28349
,,,,,,,0.001,28350
63,0.01121731847524643,0.0005826187552884221,0.0006208510603755713,0.000634441792499274,0.0006254454492591321,0.008753960020840168,,28799
,,,,,,,0.001,28800
64,0.012343691661953926,0.000626899825874716,0.0006949742673896253,0.0006776347872801125,0.0006770630134269595,0.009667121805250645,,29249
,,,,,,,0.001,29250
65,0.012335063889622688,0.0006411673384718597,0.000679567048791796,0.0006697301869280636,0.0006894826074130833,0.009655122645199299,,29699
,,,,,,,0.001,29700
66,0.01564091444015503,0.0010685534216463566,0.0011216270504519343,0.001141687505878508,0.0011496590450406075,0.011159384623169899,,30149
,,,,,,,0.001,30150
67,0.011879694648087025,0.0006620308849960566,0.0006911898381076753,0.0006979716708883643,0.0007129983277991414,0.009115505032241344,,30599
,,,,,,,0.001,30600
68,0.015003674663603306,0.0012264754623174667,0.0012743687257170677,0.0012920981971547008,0.0013108061393722892,0.009899929165840149,,31049
,,,,,,,0.001,31050
69,0.011654921807348728,0.0006246787961572409,0.0006721038953401148,0.0006666752742603421,0.0006763142300769687,0.009015143848955631,,31499
,,,,,,,0.001,31500
