epoch,loss,loss/bc_periodic,loss/ic,loss/pde_residual,loss/smma,lr,step
31,0.05809236317873001,0.034288354218006134,0.005800007376819849,0.018004005774855614,0.07084919512271881,,39999
,,,,,,0.0009988786011348103,40000
32,0.06990718096494675,0.03881734237074852,0.006859484128654003,0.024230368435382843,0.07080209255218506,,41249
,,,,,,0.0009988074469274323,41250
33,0.06363872438669205,0.03059656359255314,0.006348518189042807,0.02669363096356392,0.07044392824172974,,42499
,,,,,,0.0009987341068997996,42500
34,0.06156206130981445,0.037229347974061966,0.006456220988184214,0.01787644438445568,0.0699998289346695,,43749
,,,,,,0.0009986585813736171,43750
35,0.0643039420247078,0.034001097083091736,0.004975076299160719,0.02532782219350338,0.06971503794193268,,44999
,,,,,,0.000998580870680177,45000
36,0.06297560781240463,0.03835609182715416,0.005564212799072266,0.019055243581533432,0.06937806308269501,,46249
,,,,,,0.0009985009751603564,46250
37,0.06693793833255768,0.04229878634214401,0.0058577521704137325,0.018781311810016632,0.06925605982542038,,47499
,,,,,,0.0009984188951646157,47500
38,0.07698739320039749,0.04342309385538101,0.007349955849349499,0.02621433138847351,0.06964262574911118,,48749
,,,,,,0.0009983346310529983,48750
39,0.06852484494447708,0.03659272566437721,0.007871127687394619,0.024060962721705437,0.06958673894405365,,49999
,,,,,,0.0009982481831951279,50000
40,0.06382353603839874,0.03876728564500809,0.007212937343865633,0.017843428999185562,0.06929858028888702,,51249
,,,,,,0.0009981595519702067,51250
41,0.06569953262805939,0.04089365899562836,0.007325386628508568,0.017480487003922462,0.06911862641572952,,52499
,,,,,,0.000998068737767015,52500
42,0.06807664781808853,0.04128020629286766,0.0062677208334207535,0.020528746768832207,0.06906652450561523,,53749
,,,,,,0.000997975740983908,53750
43,0.05459015443921089,0.034828346222639084,0.00751029048115015,0.012251533567905426,0.06834270805120468,,54999
,,,,,,0.0009978805620288157,55000
44,0.06467315554618835,0.04198449105024338,0.0077159409411251545,0.014972718432545662,0.06815923005342484,,56249
,,,,,,0.0009977832013192388,56250
45,0.06859057396650314,0.040055543184280396,0.006654610391706228,0.021880431100726128,0.06818079948425293,,57499
,,,,,,0.0009976836592822493,57500
46,0.06550236791372299,0.03870202228426933,0.00493254791945219,0.021867813542485237,0.06804687529802322,,58749
,,,,,,0.0009975819363544874,58750
