x,t,u_pred,u_true,error
7.142857e-01,1.224490e-01,-5.986977e-01,-6.074532e-01,8.755445e-03
7.142857e-01,1.428571e-01,-5.767139e-01,-5.763022e-01,4.117489e-04
7.142857e-01,1.632653e-01,-5.564427e-01,-5.590560e-01,2.613306e-03
7.142857e-01,1.836735e-01,-5.376993e-01,-5.474561e-01,9.756804e-03
7.142857e-01,2.040816e-01,-5.203153e-01,-5.122775e-01,8.037746e-03
7.142857e-01,2.244898e-01,-5.041483e-01,-5.040259e-01,1.224279e-04
7.142857e-01,2.448980e-01,-4.890844e-01,-5.062832e-01,1.719874e-02
7.142857e-01,2.653061e-01,-4.750304e-01,-4.626028e-01,1.242763e-02
7.142857e-01,2.857143e-01,-4.619086e-01,-4.707766e-01,8.867949e-03
7.142857e-01,3.061225e-01,-4.496465e-01,-4.598262e-01,1.017964e-02
7.142857e-01,3.265306e-01,-4.381726e-01,-4.282854e-01,9.887189e-03
7.142857e-01,3.469388e-01,-4.274127e-01,-4.301074e-01,2.694637e-03
7.142857e-01,3.673469e-01,-4.172889e-01,-4.178132e-01,5.242825e-04
7.142857e-01,3.877551e-01,-4.077191e-01,-3.930962e-01,1.462290e-02
7.142857e-01,4.081632e-01,-3.986181e-01,-3.958224e-01,2.795696e-03
7.142857e-01,4.285714e-01,-3.899009e-01,-3.850098e-01,4.891157e-03
7.142857e-01,4.489796e-01,-3.814849e-01,-3.671272e-01,1.435772e-02
7.142857e-01,4.693877e-01,-3.732918e-01,-3.582776e-01,1.501417e-02
7.142857e-01,4.897959e-01,-3.652511e-01,-3.621948e-01,3.056288e-03
7.142857e-01,5.102041e-01,-3.573015e-01,-3.447061e-01,1.259533e-02
7.142857e-01,5.306122e-01,-3.493928e-01,-3.342773e-01,1.511547e-02
7.142857e-01,5.510204e-01,-3.414868e-01,-3.327866e-01,8.700192e-03
7.142857e-01,5.714286e-01,-3.335574e-01,-3.165728e-01,1.698461e-02
7.142857e-01,5.918368e-01,-3.255913e-01,-2.910341e-01,3.455722e-02
7.142857e-01,6.122449e-01,-3.175860e-01,-2.925606e-01,2.502540e-02
7.142857e-01,6.326531e-01,-3.095499e-01,-2.740502e-01,3.549963e-02
7.142857e-01,6.530612e-01,-3.014988e-01,-2.707154e-01,3.078339e-02
7.142857e-01,6.734694e-01,-2.934563e-01,-2.625592e-01,3.089708e-02
7.142857e-01,6.938776e-01,-2.854495e-01,-2.501833e-01,3.526616e-02
7.142857e-01,7.142857e-01,-2.775085e-01,-2.212876e-01,5.622090e-02
7.142857e-01,7.346939e-01,-2.696646e-01,-2.273221e-01,4.234251e-02
7.142857e-01,7.551020e-01,-2.619485e-01,-2.333948e-01,2.855371e-02
7.142857e-01,7.755102e-01,-2.543902e-01,-2.290704e-01,2.531986e-02
7.142857e-01,7.959183e-01,-2.470187e-01,-1.973488e-01,4.966992e-02
7.142857e-01,8.163266e-01,-2.398612e-01,-1.901764e-01,4.968485e-02
7.142857e-01,8.367347e-01,-2.329446e-01,-1.730287e-01,5.991590e-02
7.142857e-01,8.571429e-01,-2.262938e-01,-1.715736e-01,5.472028e-02
7.142857e-01,8.775510e-01,-2.199336e-01,-1.439908e-01,7.594281e-02
7.142857e-01,8.979592e-01,-2.138865e-01,-1.698858e-01,4.400070e-02
7.142857e-01,9.183673e-01,-2.081739e-01,-1.681199e-01,4.005404e-02
7.142857e-01,9.387755e-01,-2.028140e-01,-1.237242e-01,7.908981e-02
7.142857e-01,9.591837e-01,-1.978221e-01,-1.188221e-01,7.900006e-02
7.142857e-01,9.795918e-01,-1.932103e-01,-1.119809e-01,8.122945e-02
7.142857e-01,1.000000e+00,-1.889871e-01,-8.101161e-02,1.079755e-01
7.551020e-01,0.000000e+00,-6.841549e-01,-6.963139e-01,1.215905e-02
7.551020e-01,2.040816e-02,-6.523463e-01,-6.492558e-01,3.090501e-03
7.551020e-01,4.081633e-02,-6.228603e-01,-6.361358e-01,1.327556e-02
7.551020e-01,6.122449e-02,-5.956639e-01,-5.879331e-01,7.730842e-03
7.551020e-01,8.163265e-02,-5.705838e-01,-5.864319e-01,1.584804e-02
7.551020e-01,1.020408e-01,-5.474145e-01,-5.376512e-01,9.763300e-03
7.551020e-01,1.224490e-01,-5.259827e-01,-5.276852e-01,1.702487e-03
7.551020e-01,1.428571e-01,-5.061644e-01,-5.254149e-01,1.925057e-02
7.551020e-01,1.632653e-01,-4.878727e-01,-5.042559e-01,1.638317e-02
7.551020e-01,1.836735e-01,-4.710371e-01,-4.832264e-01,1.218933e-02
7.551020e-01,2.040816e-01,-4.555814e-01,-4.666815e-01,1.110011e-02
7.551020e-01,2.244898e-01,-4.414129e-01,-4.410415e-01,3.714263e-04
7.551020e-01,2.448980e-01,-4.284167e-01,-4.317979e-01,3.381193e-03
7.551020e-01,2.653061e-01,-4.164598e-01,-4.025891e-01,1.387069e-02
7.551020e-01,2.857143e-01,-4.053987e-01,-3.999192e-01,5.479485e-03
7.551020e-01,3.061225e-01,-3.950869e-01,-3.936072e-01,1.479715e-03
7.551020e-01,3.265306e-01,-3.853849e-01,-3.648330e-01,2.055186e-02
7.551020e-01,3.469388e-01,-3.761640e-01,-3.597412e-01,1.642281e-02
7.551020e-01,3.673469e-01,-3.673119e-01,-3.539376e-01,1.337430e-02
7.551020e-01,3.877551e-01,-3.587343e-01,-3.265893e-01,3.214493e-02
7.551020e-01,4.081632e-01,-3.503553e-01,-3.328849e-01,1.747042e-02
7.551020e-01,4.285714e-01,-3.421177e-01,-3.125824e-01,2.953523e-02
7.551020e-01,4.489796e-01,-3.339806e-01,-3.375136e-01,3.532946e-03
7.551020e-01,4.693877e-01,-3.259173e-01,-2.996925e-01,2.622479e-02
