epoch,loss,loss/D_u,loss/D_v,loss/F,loss/bc_bottom_u,loss/bc_bottom_v,loss/bc_left_u,loss/bc_left_v,loss/bc_right_u,loss/bc_right_v,loss/bc_top_u,loss/bc_top_v,loss/data,loss/ic_u,loss/ic_v,loss/k,loss/pde_u,loss/pde_v,loss/smma,lr,step
33,0.13415761291980743,0.16174976527690887,0.017975717782974243,1.0402755737304688,0.00010042892972705886,5.061926913185744e-06,7.577799260616302e-05,1.9005269678018522e-06,0.00012672637240029871,1.9525562038325006e-06,9.293483890360221e-05,3.23851440953149e-06,0.0049250368028879166,0.09199010580778122,0.024509882554411888,0.8082113265991211,0.011840607970952988,0.00048392819007858634,1.262378454208374,,2141
,,,,,,,,,,,,,,,,,,,,0.00099968342640579,2142
34,0.13653819262981415,0.1905297338962555,0.01832139864563942,1.0998730659484863,8.413621981162578e-05,5.250632966635749e-06,5.649343438562937e-05,2.176351472371607e-06,6.460004806285724e-05,2.041344714598381e-06,2.802055314532481e-05,3.949664005631348e-06,0.006477705202996731,0.10269979387521744,0.025572776794433594,0.8318647742271423,0.0013171659084036946,0.00022406852804124355,1.20608651638031,,2204
,,,,,,,,,,,,,,,,,,,,0.0009996645326924385,2205
35,0.12724636495113373,0.19703179597854614,0.018689852207899094,1.1580328941345215,8.867277938406914e-05,5.760040494351415e-06,5.2433781092986465e-05,2.5344224923173897e-06,9.786703594727442e-05,2.184355707868235e-06,4.2268507968401536e-05,3.855143859254895e-06,0.00498068705201149,0.09521044790744781,0.02466602809727192,0.8497679829597473,0.0017202888848260045,0.0003733492339961231,1.152144432067871,,2267
,,,,,,,,,,,,,,,,,,,,0.000999645091583974,2268
36,0.13531553745269775,0.21059753000736237,0.019116349518299103,1.212112545967102,0.00010220899275736883,3.9327842387137935e-06,7.400641334243119e-05,2.2025290036253864e-06,0.00011431691382313147,1.939912635862129e-06,7.381836621789262e-05,2.4907083115977002e-06,0.0059796711429953575,0.0985073521733284,0.02766353450715542,0.8801082968711853,0.002219894900918007,0.0005701904301531613,1.101302981376648,,2330
,,,,,,,,,,,,,,,,,,,,0.000999625103101716,2331
37,0.12458066642284393,0.2247350960969925,0.019528033211827278,1.2807514667510986,4.003354115411639e-05,5.159107331564883e-06,6.630804273299873e-05,2.8105537239753176e-06,8.489590982208028e-05,3.036658426935901e-06,3.649104473879561e-05,3.6335966342448955e-06,0.005147879011929035,0.09300784766674042,0.024847449734807014,0.9183761477470398,0.0009882773738354445,0.00034686431172303855,1.052466869354248,,2393
,,,,,,,,,,,,,,,,,,,,0.0009996045672675841,2394
38,0.12919828295707703,0.23826538026332855,0.02009885013103485,1.3393194675445557,8.761270146351308e-05,5.062557647761423e-06,4.3264550185995176e-05,2.551094212321914e-06,0.0001347381476080045,3.2241905500995927e-06,9.082842007046565e-05,3.3358464861521497e-06,0.005138380918651819,0.09249934554100037,0.027584964409470558,0.9558601379394531,0.0029821719508618116,0.0006227880367077887,1.0063034296035767,,2456
,,,,,,,,,,,,,,,,,,,,0.0009995834841040985,2457
39,0.12903617322444916,0.2632339298725128,0.02065175399184227,1.3984297513961792,7.588345761178061e-05,6.857258085801732e-06,6.455054244725034e-05,3.2886794087971793e-06,0.00011582895240280777,4.26523092755815e-06,0.00010745816689450294,4.377500772534404e-06,0.004661296959966421,0.09610974788665771,0.023976441472768784,0.9924826622009277,0.0036212648265063763,0.000284902926068753,0.9624401330947876,,2519
,,,,,,,,,,,,,,,,,,,,0.0009995618536343795,2520
40,0.12435461580753326,0.29077479243278503,0.021419446915388107,1.4522247314453125,6.603694782825187e-05,6.833173301856732e-06,5.898144081584178e-05,4.36881373389042e-06,0.00011732112034223974,5.266128937364556e-06,8.37492334540002e-05,4.078670372109627e-06,0.005216533783823252,0.0927526205778122,0.02282099798321724,1.0079535245895386,0.002929480280727148,0.00028836290584877133,0.9205358624458313,,2582
,,,,,,,,,,,,,,,,,,,,0.0009995396758821474,2583
41,0.13917124271392822,0.3307786285877228,0.02241491712629795,1.508259654045105,8.848086872603744e-05,9.796322956390213e-06,6.522741023218259e-05,4.229464593663579e-06,9.008401684695855e-05,6.18265994489775e-06,0.00010603175905998796,5.123659775563283e-06,0.00589054636657238,0.09819996356964111,0.023975107818841934,1.026712417602539,0.010319634340703487,0.00041083229007199407,0.8814675807952881,,2645
