t,x_obs,y_obs,x_pred,y_pred,beta_pred,beta_true
5.577889e-01,5.606183e+01,1.003267e+01,6.128063e+01,1.447072e+01,2.029552e-02,2.000000e-02
5.628141e-01,6.123391e+01,8.928762e+00,6.445158e+01,1.496160e+01,2.029552e-02,2.000000e-02
5.678392e-01,6.594907e+01,9.531830e+00,6.759348e+01,1.559379e+01,2.029552e-02,2.000000e-02
5.728643e-01,7.095429e+01,8.861740e+00,7.063420e+01,1.638084e+01,2.029552e-02,2.000000e-02
5.778894e-01,7.649750e+01,1.017102e+01,7.348692e+01,1.733584e+01,2.029552e-02,2.000000e-02
5.829146e-01,8.174112e+01,1.076823e+01,7.605044e+01,1.847019e+01,2.029552e-02,2.000000e-02
5.879397e-01,8.676246e+01,1.150440e+01,7.821336e+01,1.979179e+01,2.029552e-02,2.000000e-02
5.929648e-01,9.341519e+01,1.315195e+01,7.986074e+01,2.130295e+01,2.029552e-02,2.000000e-02
5.979900e-01,9.957669e+01,1.479649e+01,8.088274e+01,2.299753e+01,2.029552e-02,2.000000e-02
6.030151e-01,1.041768e+02,1.739515e+01,8.118427e+01,2.485771e+01,2.029552e-02,2.000000e-02
6.080402e-01,1.064014e+02,1.962242e+01,8.069502e+01,2.685061e+01,2.029552e-02,2.000000e-02
6.130653e-01,1.084165e+02,2.298975e+01,7.938151e+01,2.892556e+01,2.029552e-02,2.000000e-02
6.180905e-01,1.099401e+02,2.619828e+01,7.726015e+01,3.101423e+01,2.029552e-02,2.000000e-02
6.231156e-01,1.069101e+02,3.052280e+01,7.440649e+01,3.303427e+01,2.029552e-02,2.000000e-02
6.281407e-01,1.039980e+02,3.578074e+01,7.095117e+01,3.489771e+01,2.029552e-02,2.000000e-02
6.331658e-01,9.550030e+01,3.956922e+01,6.706005e+01,3.652171e+01,2.029552e-02,2.000000e-02
6.381910e-01,8.885764e+01,4.448483e+01,6.290969e+01,3.783862e+01,2.029552e-02,2.000000e-02
6.432161e-01,7.902985e+01,4.836722e+01,5.867139e+01,3.880236e+01,2.029552e-02,2.000000e-02
6.482412e-01,6.907495e+01,5.142932e+01,5.449899e+01,3.939045e+01,2.029552e-02,2.000000e-02
6.532663e-01,6.063402e+01,5.388287e+01,5.051571e+01,3.960170e+01,2.029552e-02,2.000000e-02
6.582915e-01,5.296930e+01,5.418363e+01,4.681031e+01,3.945265e+01,2.029552e-02,2.000000e-02
6.633165e-01,4.540202e+01,5.470210e+01,4.344329e+01,3.897302e+01,2.029552e-02,2.000000e-02
6.683417e-01,3.909494e+01,5.348852e+01,4.044827e+01,3.820189e+01,2.029552e-02,2.000000e-02
6.733668e-01,3.494699e+01,5.210751e+01,3.783323e+01,3.718444e+01,2.029552e-02,2.000000e-02
6.783919e-01,3.005088e+01,4.965084e+01,3.558831e+01,3.596905e+01,2.029552e-02,2.000000e-02
6.834171e-01,2.793270e+01,4.744738e+01,3.369561e+01,3.460474e+01,2.029552e-02,2.000000e-02
6.884422e-01,2.400919e+01,4.514140e+01,3.213480e+01,3.313897e+01,2.029552e-02,2.000000e-02
6.934673e-01,2.294742e+01,4.172556e+01,3.088385e+01,3.161558e+01,2.029552e-02,2.000000e-02
6.984924e-01,1.887407e+01,3.771079e+01,2.991885e+01,3.007325e+01,2.029552e-02,2.000000e-02
7.035176e-01,2.013312e+01,3.590456e+01,2.921505e+01,2.854454e+01,2.029552e-02,2.000000e-02
7.085427e-01,1.936330e+01,3.228015e+01,2.874886e+01,2.705567e+01,2.029552e-02,2.000000e-02
7.135678e-01,1.778097e+01,3.032891e+01,2.849966e+01,2.562657e+01,2.029552e-02,2.000000e-02
7.185930e-01,1.654112e+01,2.747174e+01,2.845092e+01,2.427150e+01,2.029552e-02,2.000000e-02
7.236181e-01,1.904773e+01,2.498185e+01,2.859060e+01,2.300004e+01,2.029552e-02,2.000000e-02
7.286432e-01,1.889211e+01,2.325619e+01,2.891062e+01,2.181781e+01,2.029552e-02,2.000000e-02
7.336684e-01,1.891705e+01,2.185797e+01,2.940597e+01,2.072740e+01,2.029552e-02,2.000000e-02
7.386935e-01,1.867413e+01,2.019504e+01,3.007339e+01,1.972929e+01,2.029552e-02,2.000000e-02
7.437186e-01,1.784651e+01,1.854145e+01,3.091028e+01,1.882237e+01,2.029552e-02,2.000000e-02
7.487438e-01,2.047934e+01,1.660029e+01,3.191377e+01,1.800456e+01,2.029552e-02,2.000000e-02
